"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","CLP",0.648732020446664,1,"G","F","Y","Calliope"
"2","GAB",0.163435103199713,1,"G","F","N","Gabby"
"3","GAE",0.25619819101681,1,"G","M","Y","Gael"
"4","GAL",0.552567060247471,1,"G","F","Y","Gala"
"5","GDV",0.431345239144297,1,"G","F","Y","Godiva"
"6","GDW",0.602855333519847,1,"G","M","Y","Goodwin"
"7","GEM",0.567511347169991,1,"G","F","N","Gem"
"8","GIL",0.30565509542073,1,"G","F","Y","Gillian"
"9","GIN",0.253390091136066,1,"G","M","N","Gin"
"10","GIP",0.341827509611195,1,"G","M","Y","Gipmunk"
"11","GIS",0.783521091580808,1,"G","F","Y","Gisella"
"12","GIT",0.942371689174667,1,"G","F","Y","Gita"
"13","GIZ",0.754255224146929,1,"G","M","N","Gizmo"
"14","GMM",0.679277447679289,1,"G","F","Y","Gemima"
"15","GNG",0.801494272303441,1,"G","F","N","Ginger"
"16","GNO",0.942371689174666,1,"G","M","N","Gino"
"17","GOO",1,1,"G","M","N","Goose"
"18","GOR",0.739969084306965,1,"G","M","Y","Gordon"
"19","GRE",0.576604631949581,1,"G","F","Y","Greta"
"20","GRM",0.764758423740409,1,"G","M","N","Gremlin"
"21","GRY",0.782088097371592,1,"G","M","N","Grayson"
"22","GSP",0.912050060458534,1,"G","M","N","Gaspacho"
"23","GUS",0.723375238854268,1,"G","M","N","Gus"
