"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","DAN",0.945738251501502,4,"D","F","N","Danerys"
"2","DAO",0.957873365457602,4,"D","M","Y","Dao"
"3","DAR",0.481238820993059,4,"D","F","Y","Darlene"
"4","DAS",0.166720473748476,4,"D","M","Y","Dash"
"5","DAX",0.839211073702506,4,"D","M","N","Dax"
"6","DIT",0.944249274952097,4,"D","M","N","Ditto"
"7","DIY",0.944249274952097,4,"D","F","Y","Diya"
"8","DLF",0.93587826130861,4,"D","F","N","Delfin"
"9","DLL",0.987740360744268,4,"D","F","Y","Delilah"
"10","DOC",0.240265960890644,4,"D","M","Y","Docket"
"11","DSY",0.986846846573333,4,"D","F","Y","Daisy"
"12","DUK",0.622668862320966,4,"D","M","Y","Duke"
"13","OLI",1,4,"D","M","N","Oliver"
"14","OLV",0.983741292333059,4,"D","F","Y","Olivia"
