"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","CLP",0.264491425914523,4,"G","F","Y","Calliope"
"2","GAB",0.25506668191372,4,"G","F","N","Gabby"
"3","GAE",0.458166243351152,4,"G","M","Y","Gael"
"4","GAL",0.992069968850287,4,"G","F","Y","Gala"
"5","GDV",0.67096538567955,4,"G","F","Y","Godiva"
"6","GDW",0.510894691256154,4,"G","M","Y","Goodwin"
"7","GEM",0.936877928503632,4,"G","F","N","Gem"
"8","GIL",0.842911035688918,4,"G","F","Y","Gillian"
"9","GIN",0.706014792290667,4,"G","M","N","Gin"
"10","GIP",0.326999075370388,4,"G","M","Y","Gipmunk"
"11","GIS",0.988330301666112,4,"G","F","Y","Gisella"
"12","GIT",0.508302332016458,4,"G","F","Y","Gita"
"13","GIZ",0.842911035688918,4,"G","M","N","Gizmo"
"14","GMM",0.322091721004318,4,"G","F","Y","Gemima"
"15","GNG",1,4,"G","F","N","Ginger"
"16","GNO",0.933188636513768,4,"G","M","N","Gino"
"17","GOO",0.725968777213627,4,"G","M","N","Goose"
"18","GOR",0.55102254925828,4,"G","M","Y","Gordon"
"19","GRE",0.447510044236124,4,"G","F","Y","Greta"
"20","GRM",0.94137942854651,4,"G","M","N","Gremlin"
"21","GRY",0.501113855054231,4,"G","M","N","Grayson"
"22","GSP",0.990705614945942,4,"G","M","N","Gaspacho"
"23","GUS",0.426430855669782,4,"G","M","N","Gus"
