"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","CLP",0.281305381097098,2,"G","F","Y","Calliope"
"2","GAB",0.66873379950509,2,"G","F","N","Gabby"
"3","GAE",0.550761689486703,2,"G","M","Y","Gael"
"4","GAL",0.909883782083909,2,"G","F","Y","Gala"
"5","GDV",0.582583004335024,2,"G","F","Y","Godiva"
"6","GDW",0.536522070260714,2,"G","M","Y","Goodwin"
"7","GEM",0.809896834652633,2,"G","F","N","Gem"
"8","GIL",0.784589182752198,2,"G","F","Y","Gillian"
"9","GIN",0.464540824622984,2,"G","M","N","Gin"
"10","GIP",0.169221205963843,2,"G","M","Y","Gipmunk"
"11","GIS",0.65626772033866,2,"G","F","Y","Gisella"
"12","GIT",0.467877944929107,2,"G","F","Y","Gita"
"13","GIZ",0.792196665894549,2,"G","M","N","Gizmo"
"14","GMM",0.649001888629311,2,"G","F","Y","Gemima"
"15","GNG",0.90968646025294,2,"G","F","N","Ginger"
"16","GNO",0.739018005953392,2,"G","M","N","Gino"
"17","GOO",0.94179048845777,2,"G","M","N","Goose"
"18","GOR",0.782722929286358,2,"G","M","Y","Gordon"
"19","GRE",0.632897289092163,2,"G","F","Y","Greta"
"20","GRM",0.914738974104748,2,"G","M","N","Gremlin"
"21","GRY",0.32074996041208,2,"G","M","N","Grayson"
"22","GSP",1,2,"G","M","N","Gaspacho"
"23","GUS",0.895679861158439,2,"G","M","N","Gus"
