"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","CAL",0.797668538502214,4,"C","F","Y","Cali"
"2","CAS",0.966892299249722,4,"C","F","N","Cashu"
"3","CEL",0.990101006643878,4,"C","F","N","Celeste"
"4","CHA",0.92407628251178,4,"C","F","Y","Chai"
"5","CHL",0.988396776634553,4,"C","F","N","Chloe"
"6","CHP",0.924076282511781,4,"C","F","N","Chalupa"
"7","CLA",0.247839160539095,4,"C","M","Y","Clash"
"8","COL",1,4,"C","M","N","Colugo"
"9","COR",0.519071480915922,4,"C","F","Y","Cora"
"10","CRO",0.285518260933894,4,"C","M","Y","Chromeo"
"11","CUZ",0.976462341079375,4,"C","M","Y","Cuzco"
"12","GWN",0.2197958974617,4,"C","F","Y","Gwen"
"13","GWW",0.84385545042826,4,"C","M","N","Gdubs"
