"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","FIN",0.454143170180977,3,"P","M","Y","Finn"
"2","PAD",0.761717564775319,3,"P","M","Y","Paddy"
"3","PAL",0.657599860247806,3,"P","F","Y","Paleta"
"4","PEN",0.710901630251856,3,"P","F","Y","Penelope"
"5","PET",0.48289383271307,3,"P","M","Y","Pete"
"6","PHO",0.817825077115031,3,"P","F","Y","Phoebe"
"7","PHY",0.706906566653419,3,"P","F","Y","Pyllis"
"8","PIP",0.783982616849013,3,"P","F","Y","Piper"
"9","PIT",1,3,"P","F","N","Pita"
"10","POD",0.32593385778742,3,"P","M","Y","Podrick"
"11","PRC",0.527270796629583,3,"P","M","Y","Percy"
"12","PRL",0.969955255879856,3,"P","F","Y","Pearl"
"13","PRY",0.609552080093938,3,"P","F","N","Priya"
"14","PTC",0.134315418081415,3,"P","F","Y","Patsy"
"15","PTU",0.698759618022688,3,"P","F","Y","Petunia"
