"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","FIN",0.717147517904977,1,"P","M","Y","Finn"
"2","PAD",0.730724280140786,1,"P","M","Y","Paddy"
"3","PAL",0.782878180801461,1,"P","F","Y","Paleta"
"4","PEN",0.45988514852337,1,"P","F","Y","Penelope"
"5","PET",0.740654836046709,1,"P","M","Y","Pete"
"6","PHO",0.674422601379826,1,"P","F","Y","Phoebe"
"7","PHY",0.924871973631419,1,"P","F","Y","Pyllis"
"8","PIP",0.39842261421066,1,"P","F","Y","Piper"
"9","PIT",0.999630530329979,1,"P","F","N","Pita"
"10","PRC",0.376894650920562,1,"P","M","Y","Percy"
"11","PRL",0.756437375593674,1,"P","F","Y","Pearl"
"12","PRY",0.565636296585539,1,"P","F","N","Priya"
"13","PTC",0.291954861248726,1,"P","F","Y","Patsy"
"14","PTU",1,1,"P","F","Y","Petunia"
