"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","CAL",0.429864792733203,1,"C","F","Y","Cali"
"2","CEL",0.987422132972141,1,"C","F","N","Celeste"
"3","CHA",0.453168311081187,1,"C","F","Y","Chai"
"4","CHL",1,1,"C","F","N","Chloe"
"5","CHP",0.933032994158973,1,"C","F","N","Chalupa"
"6","CLA",0.550293605023058,1,"C","M","Y","Clash"
"7","COC",0.495956151471215,1,"C","F","Y","Coco"
"8","COL",0.978543492251006,1,"C","M","N","Colugo"
"9","COR",0.692670423207586,1,"C","F","Y","Cora"
"10","CRO",0.549810202736858,1,"C","M","Y","Chromeo"
"11","CUZ",0.895548458128525,1,"C","M","Y","Cuzco"
"12","GWN",0.403555414632367,1,"C","F","Y","Gwen"
"13","GWW",0.99593930713491,1,"C","M","N","Gdubs"
