"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","FIN",0.280073239752964,2,"P","M","Y","Finn"
"2","PAD",0.291910560207116,2,"P","M","Y","Paddy"
"3","PAL",1,2,"P","F","Y","Paleta"
"4","PEN",0.291910560207115,2,"P","F","Y","Penelope"
"5","PET",0.291910560207115,2,"P","M","Y","Pete"
"6","PHO",0.770509552240059,2,"P","F","Y","Phoebe"
"7","PIP",0.991195286414866,2,"P","F","Y","Piper"
"8","PIT",0.991195286414866,2,"P","F","N","Pita"
"9","PRC",0.111232087296106,2,"P","M","Y","Percy"
"10","PTU",1,2,"P","F","Y","Petunia"
