"","dt-time","Activity","Immediate.Spread","Focal","Subgroup"
"609",2014-11-18 12:45:00,"FORAGING/","<75/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"610",2014-11-18 13:00:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"611",2014-11-18 13:15:00,"MOVING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"612",2014-11-18 13:30:00,"MOVING/FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"613",2014-11-18 13:45:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"614",2014-11-18 14:00:00,"MOVING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"615",2014-11-18 14:15:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"616",2014-11-18 14:30:00,"FORAGING/","<75/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"617",2014-11-18 14:45:00,"RESTING/FORAGING/","<75/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"618",2014-11-18 15:00:00,"FORAGING/","<75/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"619",2014-11-18 15:15:00,"FORAGING/","<75/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"620",2014-11-18 15:30:00,"FORAGING/","<75/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"621",2014-11-18 15:45:00,"RESTING/","<75/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"622",2014-11-18 16:00:00,"FORAGING/","<100/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
"623",2014-11-18 16:15:00,"FORAGING/","<200/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/DIG/DAS/BAM/"
