"","dt-time","Activity","Immediate.Spread","Focal","Subgroup"
"933",2015-06-09 12:45:00,"RESTING/","<75/","DOC","DUK/DAS/DAO/DAR/DAX/DAH/DAN/DLL/DLF/OLI/OLV/DIC/DIY/DIT/"
"934",2015-06-09 13:00:00,"RESTING/","<75/","DOC","DUK/DAS/DAO/DAR/DAX/DAH/DAN/DLL/DLF/OLI/OLV/DIC/DIY/DIT/"
"935",2015-06-09 13:15:00,"RESTING/","<75/","DOC","DUK/DAS/DAO/DAR/DAX/DAH/DAN/DLL/DLF/OLI/OLV/DIC/DIY/DIT/"
"936",2015-06-09 13:30:00,"NR/","NR/","DOC","DUK/DAS/DAO/DAR/DAX/DAH/DAN/DLL/DLF/OLI/OLV/DIC/DIY/DIT/"
"937",2015-06-09 13:45:00,"MOVING/","NR/","DOC","DUK/DAS/DAO/DAR/DAX/DAH/DAN/DLL/DLF/OLI/OLV/DIC/DIY/DIT/"
"938",2015-06-09 14:00:00,"MOVING/FORAGING/","<100/","DOC","DUK/DAS/DAO/DAR/DAX/DAH/DAN/DLL/DLF/OLI/OLV/DIC/DIY/DIT/"
"939",2015-06-09 14:15:00,"FORAGING/","<200/","DOC","DUK/DAS/DAO/DAR/DAX/DAH/DAN/DLL/DLF/OLI/OLV/DIC/DIY/DIT/"
"940",2015-06-09 17:00:00,"FORAGING/","<100/","DUK","DAR/DAX/OLI/OLV/"
"941",2015-06-09 17:15:00,"MOVING/","<100/","DUK","DAR/DAX/OLI/OLV/DAS/"
"942",2015-06-09 17:30:00,"MOVING/","UNK/","DUK","DAR/DAX/OLI/OLV/DAS/"
"943",2015-06-09 17:45:00,"RESTING/","UNK/","DUK","DAR/DAX/OLI/OLV/DAS/"
"944",2015-06-23 12:30:00,"IFV/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"945",2015-06-23 12:45:00,"IFV/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"946",2015-06-23 13:00:00,"IFV/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
