"","Date","Month","Year","Focal","Subgroup","timePeriod"
"78",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/",1
"79",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/",1
"80",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/",1
"81",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/",1
"82",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/",1
"83",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/",1
"84",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/",1
"85",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/",1
"86",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/",1
"87",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/",1
"88",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/",1
"89",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/DUK/DOO/",1
"90",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/",1
"91",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/DUK/DOO/",1
"92",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/",1
"93",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/DUK/DOO/",1
"94",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/",1
"95",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/DUK/DOO/",1
"96",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/",1
"97",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/DUK/DOO/",1
"98",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/",1
"99",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/DUK/DOO/",1
"100",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/",1
"101",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/DUK/DOO/",1
"102",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/",1
"103",2014-08-07,"August",2014,"DIG","DLL/DLF/DAS/DOC/DUK/DOO/",1
"104",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/",1
"105",2014-08-07,"August",2014,"DIG","DOO/DOC/DUK/",1
"106",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/",1
