dt.gps.time,Observer.Sample.ID,GPS,Observer,Avistaje.ID,dt-time,Date,Month,Year,Time,Ranging.Meters,Ranging.Deg,Ranging.Pt.of.Ref,AVG.Error,Activity,Immediate.Spread,Overall.Spread,Immediate.Subgroup.Composition,Additional.Group.Members,Group,Subgroup,Notes,utm_x,utm_y,x_disp,y_disp,Adj_x,Adj_y,Average_x,Average_y,Final_x,Final_y,second_x,second_y
11/14/14 GPS PP11 8:45,OS19534,GPS PP11,RR,AV25854,11/14/2014 8:45,11/14/2014,November,2014,8:45,,NA,GPSPP11 8:45,,FORAGING/,<25/,<25/,DIG/SAM/AFD/JM1/JM2/AM/AF/SF/,,D/HP/,Y/Y/,,372581.2448,9930257.663,,,,,,,372581.2448,9930257.663,,
11/14/14 GPS PP11 9:00,OS19534,GPS PP11,RR,AV25854,11/14/2014 9:00,11/14/2014,November,2014,9:00,,NA,GPSPP11 9:00,,FORAGING/,<25/,<25/,DIG/SAM/AFD/JM1/JM2/AM/AF/SF/,,D/HP/,Y/Y/,,372589.9963,9930271.181,,,,,,,372589.9963,9930271.181,,
11/14/14 GPS PP11 9:15,OS19534,GPS PP11,RR,AV25854,11/14/2014 9:15,11/14/2014,November,2014,9:15,,NA,GPSPP11 9:00,,RESTING/FORAGING/,<50/,<50/,DIG/SAM/AFD/JM1/JM2/AM/AF/SF/,,D/HP/,Y/Y/,,372590.7952,9930276.14,,,,,,,372590.7952,9930276.14,,
11/14/14 GPS PP11 9:30,OS19534,GPS PP11,RR,AV25854,11/14/2014 9:30,11/14/2014,November,2014,9:30,,NA,GPSPP11 9:00,,RESTING/FORAGING/,<50/,<50/,DIG/SAM/AFD/JM1/JM2/AM/AF/SF/,,D/HP/,Y/Y/,,372590.0662,9930296.378,,,,,,,372590.0662,9930296.378,,
11/14/14 GPS PP11 15:30,OS19534,GPS PP11,RR,AV25860,11/14/2014 15:30,11/14/2014,November,2014,15:30,,NA,GPSPP11 15:30,,FORAGING/,<75/,<75/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372465.8801,9930712.407,,,,,,,372465.8801,9930712.407,,
11/14/14 GPS PP11 15:45,OS19534,GPS PP11,RR,AV25860,11/14/2014 15:45,11/14/2014,November,2014,15:45,,NA,GPSPP11 15:45,,MOVING/,<75/,<75/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372460.6009,9930730.935,,,,,,,372460.6009,9930730.935,,
11/14/14 GPS PP11 16:00,OS19534,GPS PP11,RR,AV25860,11/14/2014 16:00,11/14/2014,November,2014,16:00,,NA,GPSPP11 16:00,,FORAGING/,<50/,<50/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372315.7437,9930797.202,,,,,,,372315.7437,9930797.202,,
11/14/14 GPS PP11 16:15,OS19534,GPS PP11,RR,AV25860,11/14/2014 16:15,11/14/2014,November,2014,16:15,,NA,GPSPP11 16:15,,FORAGING/,<50/,<50/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372304.1221,9930822.86,,,,,,,372304.1221,9930822.86,,
11/14/14 GPS PP11 16:30,OS19534,GPS PP11,RR,AV25860,11/14/2014 16:30,11/14/2014,November,2014,16:30,,NA,GPSPP11 16:30,,RESTING/FORAGING/,<50/,<50/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372304.8003,9930835.493,,,,,,,372304.8003,9930835.493,,
11/14/14 GPS PP11 16:45,OS19534,GPS PP11,RR,AV25860,11/14/2014 16:45,11/14/2014,November,2014,16:45,,NA,GPSPP11 16:30,,RESTING/FORAGING/,<50/,<50/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372307.0163,9930854.538,,,,,,,372307.0163,9930854.538,,
11/14/14 GPS PP11 17:00,OS19534,GPS PP11,RR,AV25860,11/14/2014 17:00,11/14/2014,November,2014,17:00,,NA,GPSPP11 17:00,,FORAGING/,<50/,<50/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372273.3014,9930823.124,,,,,,,372273.3014,9930823.124,,
11/14/14 GPS PP11 17:15,OS19534,GPS PP11,RR,AV25860,11/14/2014 17:15,11/14/2014,November,2014,17:15,,NA,GPSPP1 17:15,,FORAGING/,<50/,<50/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372284.6423,9930758.804,,,,,,,372284.6423,9930758.804,,
11/14/14 GPS PP11 17:30,OS19534,GPS PP11,RR,AV25860,11/14/2014 17:30,11/14/2014,November,2014,17:30,,NA,GPSPP11 17:15,,FORAGING/,<50/,<50/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372276.5895,9930770.233,,,,,,,372276.5895,9930770.233,,
11/14/14 GPS PP11 17:45,OS19534,GPS PP11,RR,AV25860,11/14/2014 17:45,11/14/2014,November,2014,17:45,,NA,GPSPP11 17:45,,FORAGING/,<50/,<50/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372285.5574,9930744.041,,,,,,,372285.5574,9930744.041,,
11/14/14 GPS PP11 18:00,OS19534,GPS PP11,RR,AV25860,11/14/2014 18:00,11/14/2014,November,2014,18:00,,NA,GPSPP11 17:15,,RESTING/FORAGING/,<50/,<50/,DIG/DOC/DIY/DIT/DAS/AM/,,D/,Y/,,372265.079,9930746.242,,,,,,,372265.079,9930746.242,,
11/15/14 GPS PP11 6:00,OS19535,GPS PP11,RR,AV25861,11/15/2014 6:00,11/15/2014,November,2014,6:00,,NA,GPSPP11 6:00,,RESTING/,<25/,<25/,DUK/DAR/,,D/,Y/,,NA,NA,,,,,,,NA,NA,,
11/15/14 GPS PP11 6:15,OS19535,GPS PP11,RR,AV25861,11/15/2014 6:15,11/15/2014,November,2014,6:15,,NA,GPSPP11 6:15,,RESTING/,<25/,<25/,DUK/DAR/,,D/,Y/,,372272.3309,9930814.046,,,,,,,372272.3309,9930814.046,,
11/15/14 GPS PP11 6:30,OS19535,GPS PP11,RR,AV25861,11/15/2014 6:30,11/15/2014,November,2014,6:30,,NA,HARPIA 1975,,FORAGING/,<25/,<25/,DUK/DAR/,,D/,Y/,,372244.2579,9930843.655,,,,,,,372244.2579,9930843.655,,
11/15/14 GPS PP11 6:45,OS19535,GPS PP11,RR,AV25861,11/15/2014 6:45,11/15/2014,November,2014,6:45,,NA,GPSPP11 6:45,,RESTING/FORAGING/,<25/,<25/,DUK/DAR/,,D/,Y/,,372235.2767,9930834.789,,,,,,,372235.2767,9930834.789,,
11/15/14 GPS PP11 7:00,OS19535,GPS PP11,RR,AV25861,11/15/2014 7:00,11/15/2014,November,2014,7:00,,NA,GPSPP11 7:00,,RFV/,<25/,<25/,DUK/DAR/,,D/,Y/,,372227.2576,9930809.277,,,,,,,372227.2576,9930809.277,,
11/15/14 GPS PP11 7:15,OS19535,GPS PP11,RR,AV25861,11/15/2014 7:15,11/15/2014,November,2014,7:15,,NA,GPSPP11 7:00,,RFV/,<25/,<25/,DUK/DAR/,,D/,Y/,,372219.5681,9930833.723,,,,,,,372219.5681,9930833.723,,
11/15/14 GPS PP11 7:30,OS19535,GPS PP11,RR,AV25861,11/15/2014 7:30,11/15/2014,November,2014,7:30,,NA,GPSPP11 7:00,,RFV/,<25/,<25/,DUK/DAR/,,D/,Y/,,372203.5368,9930836.564,,,,,,,372203.5368,9930836.564,,
11/15/14 GPS PP11 7:45,OS19535,GPS PP11,RR,AV25861,11/15/2014 7:45,11/15/2014,November,2014,7:45,,NA,GPSPP11 7:00,,RFV/,<25/,<25/,DUK/DAR/,,D/,Y/,,372216.5241,9930836.639,,,,,,,372216.5241,9930836.639,,
11/15/14 GPS PP11 8:00,OS19535,GPS PP11,RR,AV25861,11/15/2014 8:00,11/15/2014,November,2014,8:00,,NA,GPSPP11 7:00,,MOVING/,<25/,<25/,DUK/DAR/,,D/,Y/,,372209.1589,9930827.947,,,,,,,372209.1589,9930827.947,,
11/15/14 GPS PP11 8:15,OS19535,GPS PP11,RR,AV25861,11/15/2014 8:15,11/15/2014,November,2014,8:15,,NA,GPSPP11 8:15,,FORAGING/,<25/,<25/,DUK/DAR/,,D/,Y/,,372196.4809,9930821.361,,,,,,,372196.4809,9930821.361,,
11/15/14 GPS PP11 8:30,OS19535,GPS PP11,RR,AV25861,11/15/2014 8:30,11/15/2014,November,2014,8:30,,NA,GPSPP11 8:30,,AFV/,<25/,<25/,DUK/DAR/,,D/,Y/,,372204.9338,9930835.883,,,,,,,372204.9338,9930835.883,,
11/15/14 GPS PP11 8:45,OS19535,GPS PP11,RR,AV25861,11/15/2014 8:45,11/15/2014,November,2014,8:45,,NA,GPSPP11 8:45,,FORAGING/,<25/,<25/,DUK/DAR/,,D/,Y/,,372158.8076,9930889.855,,,,,,,372158.8076,9930889.855,,
11/15/14 GPS PP11 9:00,OS19535,GPS PP11,RR,AV25861,11/15/2014 9:00,11/15/2014,November,2014,9:00,15/,360,GPSPP11 9:00,,FORAGING/,<25/,<25/,DUK/DAR/AF/,,D/,Y/,,372117.1012,9930866.767,,,,,,,372117.1012,9930866.767,,
11/15/14 GPS PP11 9:15,OS19535,GPS PP11,RR,AV25861,11/15/2014 9:15,11/15/2014,November,2014,9:15,,NA,GPSPP11 9:15,,FORAGING/,<25/,<25/,DUK/DAR/AF/,,D/,Y/,,372118.0763,9930897.055,,,,,,,372118.0763,9930897.055,,
11/15/14 GPS PP11 9:30,OS19535,GPS PP11,RR,AV25861,11/15/2014 9:30,11/15/2014,November,2014,9:30,,NA,GPSPP11 9:30,,FORAGING/,<50/,<50/,DUK/DAR/AF/,,D/,Y/,,372108.8689,9930898.549,,,,,,,372108.8689,9930898.549,,
11/15/14 GPS PP11 9:45,OS19535,GPS PP11,RR,AV25861,11/15/2014 9:45,11/15/2014,November,2014,9:45,,NA,GPSPP11 9:45,,RFV/,<50/,<50/,DUK/DAR/AF/,,D/,Y/,,372115.38,9930867.087,,,,,,,372115.38,9930867.087,,
11/15/14 GPS PP11 10:00,OS19535,GPS PP11,RR,AV25861,11/15/2014 10:00,11/15/2014,November,2014,10:00,,NA,GPSPP11 9:45,,RFV/,<50/,<50/,DUK/DAR/AF/,,D/,Y/,,372119.6276,9930873.817,,,,,,,372119.6276,9930873.817,,
11/15/14 GPS PP11 10:15,OS19535,GPS PP11,RR,AV25861,11/15/2014 10:15,11/15/2014,November,2014,10:15,,NA,GPSPP11 9:45,,RFV/,<50/,<50/,DUK/DAR/AF/,,D/,Y/,,372114.419,9930868.3,,,,,,,372114.419,9930868.3,,
11/17/14 GPS PP11 7:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 7:00,11/17/2014,November,2014,7:00,,NA,GPSPP11 7:00,,FORAGING/,<50/,<50/,DIG/DOC/DAO/DUK/DAR/DIY/DIT/DAS/,,D/,Y/,,372214.8686,9930072.345,,,,,,,372214.8686,9930072.345,,
11/17/14 GPS PP11 7:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 7:15,11/17/2014,November,2014,7:15,,NA,GPSPP11 7:15,,MOVING/,<50/,<50/,DIG/DOC/DAO/DUK/DAR/DIY/DIT/DAS/,,D/,Y/,,372211.1737,9930097.537,,,,,,,372211.1737,9930097.537,,
11/17/14 GPS PP11 7:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 7:30,11/17/2014,November,2014,7:30,,NA,GPSPP11 7:30,,FORAGING/,<50/,<50/,DIG/DOC/DAO/DUK/DAR/DIY/DIT/DAS/,,D/,Y/,,372294.395,9930091.278,,,,,,,372294.395,9930091.278,,
11/17/14 GPS PP11 7:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 7:45,11/17/2014,November,2014,7:45,,NA,GPSPP11 7:30,,MOVING/FORAGING/,<50/,<50/,DIG/DOC/DAO/DUK/DAR/DIY/DIT/DAS/,,D/,Y/,,372305.7791,9930053.8,,,,,,,372305.7791,9930053.8,,
11/17/14 GPS PP11 8:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 8:00,11/17/2014,November,2014,8:00,,NA,GPSPP11 8:00,,MOVING/,<50/,<50/,DIG/DOC/DAO/DUK/DAR/DIY/DIT/DAS/,,D/,Y/,,372399.2079,9930079.088,,,,,,,372399.2079,9930079.088,,
11/17/14 GPS PP11 8:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 8:15,11/17/2014,November,2014,8:15,,NA,GPSPP11 8:15,,MOVING/,<50/,<50/,DIG/DOC/DAO/DUK/DAR/DIY/DIT/DAS/,,D/,Y/,,372496.6089,9930132.713,,,,,,,372496.6089,9930132.713,,
11/17/14 GPS PP11 8:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 8:30,11/17/2014,November,2014,8:30,,NA,GPSPP11 8:30,,MOVING/,<75/,<75/,DIG/DOC/DAO/DUK/DAR/DIY/DIT/DAS/,,D/,Y/,,372592.6969,9930228.973,,,,,,,372592.6969,9930228.973,,
11/17/14 GPS PP11 8:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 8:45,11/17/2014,November,2014,8:45,,NA,HARPIA 1050,,MOVING/FORAGING/,<75/,<75/,DIG/DOC/DAO/DUK/DAR/DIY/DIT/DAS/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,N/,,372553.4059,9930325.603,,,,,,,372553.4059,9930325.603,,
11/17/14 GPS PP11 9:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 9:00,11/17/2014,November,2014,9:00,,NA,HARPIA 1100,,MOVING/,<75/,<75/,DIG/DOC/DAO/DUK/DAR/DIY/DIT/DAS/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,N/,,372540.8288,9930369.086,,,,,,,372540.8288,9930369.086,,
11/17/14 GPS PP11 9:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 9:15,11/17/2014,November,2014,9:15,,NA,GPSPP11 9:15,,FORAGING/,<75/,<75/,DIG/DOC/DAO/DUK/DAR/DIY/DIT/DAS/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,N/,,372509.8349,9930446.587,,,,,,,372509.8349,9930446.587,,
11/17/14 GPS PP11 9:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 9:30,11/17/2014,November,2014,9:30,,NA,GPSPP11 9:15,,MOVING/,<75/,<75/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372515.0408,9930464.748,,,,,,,372515.0408,9930464.748,,
11/17/14 GPS PP11 9:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 9:45,11/17/2014,November,2014,9:45,,NA,GPSPP11 9:45,,FORAGING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372615.1619,9930408.296,,,,,,,372615.1619,9930408.296,,
11/17/14 GPS PP11 10:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 10:00,11/17/2014,November,2014,10:00,,NA,GPSPP11 10:00,,FORAGING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372667.7322,9930287.713,,,,,,,372667.7322,9930287.713,,
11/17/14 GPS PP11 10:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 10:15,11/17/2014,November,2014,10:15,,NA,GPSPP11 10:15,,FORAGING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372696.2551,9930259.044,,,,,,,372696.2551,9930259.044,,
11/17/14 GPS PP11 10:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 10:30,11/17/2014,November,2014,10:30,,NA,GPSPP11 10:30,,FORAGING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372710.4877,9930248.319,,,,,,,372710.4877,9930248.319,,
11/17/14 GPS PP11 10:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 10:45,11/17/2014,November,2014,10:45,,NA,GPSPP11 10:45,,RESTING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372756.6039,9930292.688,,,,,,,372756.6039,9930292.688,,
11/17/14 GPS PP11 11:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 11:00,11/17/2014,November,2014,11:00,,NA,GPSPP11 11:00,,RESTING/FORAGING/,<75/,<75/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372752.8271,9930329.856,,,,,,,372752.8271,9930329.856,,
11/17/14 GPS PP11 11:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 11:15,11/17/2014,November,2014,11:15,,NA,GPSPP11 11:15,,FORAGING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372708.2789,9930430.266,,,,,,,372708.2789,9930430.266,,
11/17/14 GPS PP11 11:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 11:30,11/17/2014,November,2014,11:30,,NA,GPSPP11 11:30,,MOVING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372666.443,9930519.643,,,,,,,372666.443,9930519.643,,
11/17/14 GPS PP11 11:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 11:45,11/17/2014,November,2014,11:45,,NA,GPSPP11 11:45,,MOVING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372534.7137,9930637.091,,,,,,,372534.7137,9930637.091,,
11/17/14 GPS PP11 12:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 12:00,11/17/2014,November,2014,12:00,,NA,LL-14-251,,FORAGING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372321.2955,9930790.566,,,,,,,372321.2955,9930790.566,,
11/17/14 GPS PP11 12:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 12:15,11/17/2014,November,2014,12:15,,NA,GPSPP11 12:15,,RESTING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372277.7829,9930794.07,,,,,,,372277.7829,9930794.07,,
11/17/14 GPS PP11 12:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 12:30,11/17/2014,November,2014,12:30,,NA,GPSPP11 12:30,,FORAGING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372271.2999,9930793.492,,,,,,,372271.2999,9930793.492,,
11/17/14 GPS PP11 12:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 12:45,11/17/2014,November,2014,12:45,,NA,GPSPP11 12:30,,RESTING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372254.9615,9930803.663,,,,,,,372254.9615,9930803.663,,
11/17/14 GPS PP11 13:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 13:00,11/17/2014,November,2014,13:00,,NA,GPSPP11 12:30,,RESTING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372253.1546,9930801.381,,,,,,,372253.1546,9930801.381,,
11/17/14 GPS PP11 13:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 13:15,11/17/2014,November,2014,13:15,,NA,GPSPP11 12:30,,RESTING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372253.262,9930801.346,,,,,,,372253.262,9930801.346,,
11/17/14 GPS PP11 13:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 13:30,11/17/2014,November,2014,13:30,,NA,GPSPP11 12:30,,RESTING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372254.9575,9930800.904,,,,,,,372254.9575,9930800.904,,
11/17/14 GPS PP11 13:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 13:45,11/17/2014,November,2014,13:45,,NA,GPSPP11 12:30,,RESTING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372247.4594,9930813.963,,,,,,,372247.4594,9930813.963,,
11/17/14 GPS PP11 14:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 14:00,11/17/2014,November,2014,14:00,,NA,LL-14-251,,RESTING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,SLIGHT RAIN,372282.0955,9930791.803,,,,,,,372282.0955,9930791.803,,
11/17/14 GPS PP11 14:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 14:15,11/17/2014,November,2014,14:15,,NA,LL-14-251,,RESTING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,SLIGHT RAIN,372289.0495,9930792.808,,,,,,,372289.0495,9930792.808,,
11/17/14 GPS PP11 14:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 14:30,11/17/2014,November,2014,14:30,,NA,LL-14-251,,RESTING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372290.7433,9930789.484,,,,,,,372290.7433,9930789.484,,
11/17/14 GPS PP11 14:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 14:45,11/17/2014,November,2014,14:45,,NA,LL-14-251,,MOVING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372294.2885,9930787.305,,,,,,,372294.2885,9930787.305,,
11/17/14 GPS PP11 15:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 15:00,11/17/2014,November,2014,15:00,,NA,GPSPP11 15:00,,MOVING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372439.5411,9930832.406,,,,,,,372439.5411,9930832.406,,
11/17/14 GPS PP11 15:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 15:15,11/17/2014,November,2014,15:15,,NA,GPSPP11 15:15,,MOVING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372449.1779,9930701.171,,,,,,,372449.1779,9930701.171,,
11/17/14 GPS PP11 15:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 15:30,11/17/2014,November,2014,15:30,,NA,GPSPP11 15:30,,MOVING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372379.1432,9930606.462,,,,,,,372379.1432,9930606.462,,
11/17/14 GPS PP11 15:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 15:45,11/17/2014,November,2014,15:45,,NA,GPSPP11 15:45,,FORAGING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372305.2367,9930568.182,,,,,,,372305.2367,9930568.182,,
11/17/14 GPS PP11 16:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 16:00,11/17/2014,November,2014,16:00,,NA,GPSPP11 16:00,,MOVING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372305.8528,9930565.938,,,,,,,372305.8528,9930565.938,,
11/17/14 GPS PP11 16:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 16:15,11/17/2014,November,2014,16:15,,NA,GPSPP11 16:15,,FORAGING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372277.6237,9930531.141,,,,,,,372277.6237,9930531.141,,
11/17/14 GPS PP11 16:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 16:30,11/17/2014,November,2014,16:30,,NA,GPSPP11 16:30,,FORAGING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372264.5352,9930513.977,,,,,,,372264.5352,9930513.977,,
11/17/14 GPS PP11 16:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 16:45,11/17/2014,November,2014,16:45,,NA,GPSPP11 16:45,,MOVING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372154.5765,9930605.989,,,,,,,372154.5765,9930605.989,,
11/17/14 GPS PP11 17:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 17:00,11/17/2014,November,2014,17:00,,NA,GPSPP11 17:00,,MOVING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372089.9586,9930418.927,,,,,,,372089.9586,9930418.927,,
11/17/14 GPS PP11 17:15,OS19537,GPS PP11,RR,AV25862,11/17/2014 17:15,11/17/2014,November,2014,17:15,,NA,GPSPP11 17:15,,MOVING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372108.3769,9930357.247,,,,,,,372108.3769,9930357.247,,
11/17/14 GPS PP11 17:30,OS19537,GPS PP11,RR,AV25862,11/17/2014 17:30,11/17/2014,November,2014,17:30,,NA,GPSPP11 17:30,,MOVING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372225.0079,9930338.838,,,,,,,372225.0079,9930338.838,,
11/17/14 GPS PP11 17:45,OS19537,GPS PP11,RR,AV25862,11/17/2014 17:45,11/17/2014,November,2014,17:45,,NA,GPSPP11 17:45,,MOVING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372265.085,9930167.835,,,,,,,372265.085,9930167.835,,
11/17/14 GPS PP11 18:00,OS19537,GPS PP11,RR,AV25862,11/17/2014 18:00,11/17/2014,November,2014,18:00,25,110,Q 700,,RESTING/FORAGING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372343.3374,9930105.346,,,,,,,372343.3374,9930105.346,,
11/18/14 GPS PP11 6:00,OS19538,GPS PP11,RR,AV25854,11/18/2014 6:00,11/18/2014,November,2014,6:00,,NA,GPSPP11 6:00,,FORAGING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372380.4351,9930077.692,,,,,372350.0626,9930079.46,372350.0626,9930079.46,,
11/18/14 GPS PP11 6:15,OS19538,GPS PP11,RR,AV25854,11/18/2014 6:15,11/18/2014,November,2014,6:15,,NA,GPSPP11 6:15,,VOCALIZING/,<50/,<50/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372459.1447,9930120.147,,,,,372440.3738,9930115.047,372440.3738,9930115.047,,
11/18/14 GPS PP11 6:30,OS19538,GPS PP11,RR,AV25854,11/18/2014 6:30,11/18/2014,November,2014,6:30,,NA,GPSPP11 6:30,,MOVING/FORAGING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372418.4885,9930104.294,,,,,372414.6691,9930098.369,372414.6691,9930098.369,,
11/18/14 GPS PP11 6:45,OS19538,GPS PP11,RR,AV25854,11/18/2014 6:45,11/18/2014,November,2014,6:45,,NA,AB-12-059,,FORAGING/,<25/,<25/,DAO/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/,,D/,Y/,,372377.7949,9930068.38,,,,,372391.943,9930069.206,372391.943,9930069.206,,
